"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"11","101916","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0008","SWANSON'S / OMNI ENT","Original Order","250-018275","09/24/2013","108","9","776.16","03/01/2014","03/30/2014","UPSN","000918","978262","","","W","","PB-GN-DS","EE","RGG147","","","",
"12","101915","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0007","FORKS OUTFITTERS","Original Order","208-018467","09/24/2013","36","3","465.60","03/01/2014","03/30/2014","UPSN","000921","978251","","","W","","PB-GN-4PC","EE","RGG147","","","",
"13","101917","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0010","GRIGGS DEPARTMENT ST","Original Order","2-018275","09/24/2013","60","5","348.00","03/01/2014","03/30/2014","UPSN","000923","978265","","","W","","PB-GN-ROM","EE","RGG147","","","",
"14","101918","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0011","BRYANS","Original Order","304-018275","09/24/2013","84","7","694.56","03/01/2014","03/30/2014","UPSN","000924","978260","","","W","","PB-GN-DS","EE","RGG147","","","",
"15","101919","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0012","GIBSON'S PRODUCTS CO","Original Order","566-018275","09/24/2012","108","9","672.00","03/01/2014","03/30/2014","UPSN","000925","978255","","","W","","PB-GN-DS","EE","RGG147","","","",
"16","101920","02/14/2014","Billed","WD0001","WORLDWIDE DISTRIBUTO","WD0013","PARKER CASSIDY SUPPL","Original Order","594-018275","09/25/2013","60","5","344.40","03/01/2014","03/30/2014","UPSN","000926","978253","","","W","","PB-BN-DS","EE","RGG147","","","",
"17","101909","02/12/2014","Billed","FF0001","PETER ELIAS","FF0001","FAIRWAY FREIGHT","Original Order","101013","10/10/2013","32","4","1036.00","01/30/2014","02/28/2014","CALL TO ROUTE","000962","OUT OF COU","","","","","PB-G7-DRW","EE","RGG143","","","",
"18","101725","02/04/2014","Billed","PP0001","PEPES (BENITEZ MENDE","PP0001","PEPES (BENITEZ MENDE","Original Order","0925-14","10/17/2013","72","12","540.00","11/01/2013","03/30/2014","USPS","001101","656063","","","W","","PB-GN-ROM","RG","RGG131","","","",
"19","101926","02/14/2014","Billed","NE0001","NEVERLAND","NE0001","NEVERLAND","Original Order","101713","10/17/2013","408","37","2436.00","12/30/2013","02/25/2014","HOLD! FEDEX GRN","001102","NONE","","","","","PB-GN-3BS","EE","RGG148","","","",
"20","101496","01/28/2014","Billed","CS0001","COLORS","CS0001","COLORS","Original Order","102113A","10/21/2013","80","11","1562.00","01/30/2014","02/28/2014","FEDEX GROUND","001107","NONE","","","","","PB-GT-2LS","EE","RGG119","","","",
"21","101727","02/04/2014","Billed","WW0001","WISHING WELL","WW0001","WISHING WELL","Original Order","294175","10/21/2013","24","4","273.30","01/25/2014","03/30/2014","UPSN-UNITED PAR","001117","654553","","","W","","PB-GT-3SS","JC","RGG131","","","",
"22","101718","02/04/2014","Billed","GE0001","GECHTERS","GE0001","GECHTERS","Original Order","228120","10/21/2013","126","21","1074.90","01/25/2014","03/15/2014","UPSN-UNITED PAR","001118","833620","","","W","","PB-GN-ROM","JC","RGG131","","","",
