"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"154","DOLGENCORP LLC","1,483.20","","No collection Info","000136","01/17/2014","NET 75","592554","","Shipped","DG0001","F11585","Open","101397","  .00%",".00","1,483.20","04/02/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/20/2014","","002906","","101397","G342","","01/17/14","CALL TO ROUTE","   720","    15","173473","1,483.20","    .00",".00","","","","PA","96100","96100",
"155","DOLGENCORP LLC","6,909.60","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FGY","Open","101448","  .00%",".00","6,909.60","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000519","","101448","G356","","01/28/14"," VENDOR PORTAL","  2400","    50","175754","6,909.60","    .00",".00","","","","KY","9600","96000",
"156","DOLGENCORP LLC","25,689.60","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH0","Open","101449","  .00%",".00","25,689.60","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000520","","101449","G356","","01/28/14"," VENDOR PORTAL","  8832","   184","175755","25,689.60","    .00",".00","","","","OK","9630","96300",
"157","DOLGENCORP LLC","5,313.60","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH1","Open","101450","  .00%",".00","5,313.60","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000521","","101450","G356","","01/28/14"," VENDOR PORTAL","  1872","    39","175756","5,313.60","    .00",".00","","","","VA","9650","96500",
"158","DOLGENCORP LLC","10,075.20","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH2","Open","101451","  .00%",".00","10,075.20","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000522","","101451","G356","","01/28/14"," VENDOR PORTAL","  3504","    73","175757","10,075.20","    .00",".00","","","","MS","9660","96600",
"159","DOLGENCORP LLC","6,266.40","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH3","Open","101452","  .00%",".00","6,266.40","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000524","","101452","G356","","01/28/14"," VENDOR PORTAL","  2208","    46","175758","6,266.40","    .00",".00","","","","MO","9670","96700",
"160","DOLGENCORP LLC","13,238.40","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH4","Open","101453","  .00%",".00","13,238.40","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000525","","101453","G356","","01/28/14"," VENDOR PORTAL","  4560","    95","175759","13,238.40","    .00",".00","","","","FL","9680","96800",
"161","DOLGENCORP LLC","9,532.80","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH8","Open","101457","  .00%",".00","9,532.80","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000529","","101457","G356","","01/28/14"," VENDOR PORTAL","  3312","    69","175763","9,532.80","    .00",".00","","","","AL","9693","96930",
"162","DOLGENCORP LLC","2,498.40","","No collection Info","000142","01/28/2014","NET 75","592554","","Shipped","DG0001","F11FH9","Open","101458","  .00%",".00","2,498.40","04/13/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/29/2014","","000530","","101458","G355","","01/28/14"," VENDOR PORTAL","   864","    18","175764","2,498.40","    .00",".00","","","","CA","9697","96970",
"163","DOLGENCORP LLC","5,846.40","","No collection Info","000143","01/29/2014","NET 75","592554","","Shipped","DG0001","F11FH5","Open","101454","  .00%",".00","5,846.40","04/14/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/30/2014","","000526","","101454","G357","","01/29/14"," VENDOR PORTAL","  2064","    43","175760","5,846.40","    .00",".00","","","","OH","9690","96900",
"164","DOLGENCORP LLC","3,938.40","","No collection Info","000143","01/29/2014","NET 75","592554","","Shipped","DG0001","F11FH6","Open","101455","  .00%",".00","3,938.40","04/14/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/30/2014","","000527","","101455","G357","","01/29/14"," VENDOR PORTAL","  1392","    29","175761","3,938.40","    .00",".00","","","","SC","9691","96910",
"165","DOLGENCORP LLC","8,390.40","","No collection Info","000143","01/29/2014","NET 75","592554","","Shipped","DG0001","F11FH7","Open","101456","  .00%",".00","8,390.40","04/14/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/30/2014","","000528","","101456","G357","","01/29/14"," VENDOR PORTAL","  2928","    61","175762","8,390.40","    .00",".00","","","","IN","9692","96920",
"166","DOLGENCORP LLC","4,032.00","","No collection Info","000143","01/29/2014","NET 75","592554","","Shipped","DG0001","F11FHC","Open","101459","  .00%",".00","4,032.00","04/14/2014",".00","Invoice",".00","PB","","Current"," 75","","DS","01/14","","","","","","W","01/30/2014","","002906","","101459","G357","","01/29/14","CALL TO ROUTE","  1392","    29","175765","4,032.00","    .00",".00","","","","PA","96100","96100",
"167","E.B. APPAREL, INC.","144.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806169","","Shipped","EB0001","12120","Open","101202","  .00%",".00","144.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0001","","101202","G326","","12/26/13","CALL TO ROUTE","    72","     8","","144.00","    .00",".00","","1Z4R845R0315180","","MA","","",
"168","E.B. APPAREL, INC.","123.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806167","","Shipped","EB0001","12120","Open","101203","  .00%",".00","123.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0002","","101203","G327","","12/26/13","CALL TO ROUTE","    60","     7","","123.00","    .00",".00","","","","FL","","",
"169","E.B. APPAREL, INC.","72.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806158","","Shipped","EB0001","12120","Open","101204","  .00%",".00","72.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0003","","101204","G327","","12/26/13","CALL TO ROUTE","    36","     4","","72.00","    .00",".00","","","","FL","","",
"170","E.B. APPAREL, INC.","159.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806136","","Shipped","EB0001","12120","Open","101205","  .00%",".00","159.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0004","","101205","G326","","12/26/13","CALL TO ROUTE","    78","     9","","159.00","    .00",".00","","1Z4R845R0362276","","NJ","","",
"171","E.B. APPAREL, INC.","144.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806130","","Shipped","EB0001","12120","Open","101206","  .00%",".00","144.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0005","","101206","G326","","12/26/13","CALL TO ROUTE","    72","     8","","144.00","    .00",".00","","","","NY","","",
"172","E.B. APPAREL, INC.","129.00","","No collection Info","000122","12/26/2013","NET 10 EOM + 30","806132","","Shipped","EB0001","12120","Open","101207","  .00%",".00","129.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 20","","EE","12/13","","","","","","W","12/26/2013","","EB0006","","101207","G326","","12/26/13","CALL TO ROUTE","    66","     7","","129.00","    .00",".00","","","","CO","","",
"173","FORDHAM KIDS #34","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","784882","","Shipped","FK0001","16879","Open","101180","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","FK0001","","101180","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NY","","",
"174","FORMAN MILLS","1,620.00","","No collection Info","000110","09/03/2013","NET 60","215949","","Shipped","FM0001","299198","Open","100146","  .00%",".00","1,620.00","11/02/2013",".00","Invoice",".00","PB","120","121 to 150"," 60","","JB","08/13","","","","","","W","12/03/2013","","FM0001","","100146","G287","","09/10/13","GCTN-GREAT CENT","   240","    20","132499","1,620.00","    .00",".00","","","","NJ","PLC","",
"175","FORMAN MILLS","2,808.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317272","Open","101357","  .00%",".00","2,808.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101357","G335","","01/06/14","CALL TO ROUTE","   864","    72","171011","2,808.00","    .00",".00","","","","NJ","PLC","PLC",
"176","FORMAN MILLS","11,904.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317273","Open","101358","  .00%",".00","11,904.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101358","G335","","01/06/14","CALL TO ROUTE","  2058","   263","171011","11,904.00","    .00",".00","","","","NJ","PLC","PLC",
"177","FORMAN MILLS","2,832.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317275","Open","101359","  .00%",".00","2,832.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101359","G335","","01/06/14","CALL TO ROUTE","   840","    70","171011","2,832.00","    .00",".00","","","","NJ","PLC","PLC",
"178","FORMAN MILLS","5,271.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317276","Open","101360","  .00%",".00","5,271.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101360","G335","","01/06/14","CALL TO ROUTE","  1716","   143","171011","5,271.00","    .00",".00","","","","NJ","PLC","PLC",
"179","FORMAN MILLS","9,822.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317278","Open","101362","  .00%",".00","9,822.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101362","G335","","01/06/14","CALL TO ROUTE","  2028","   230","171011","9,822.00","    .00",".00","","","","NJ","PLC","PLC",
"180","FORMAN MILLS","2,340.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317279","Open","101363","  .00%",".00","2,340.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101363","G335","","01/06/14","CALL TO ROUTE","   720","    60","","2,340.00","    .00",".00","","","","NJ","PLC","PLC",
"181","FORMAN MILLS","4,851.00","","No collection Info","000131","01/06/2014","NET 30","837277","","Shipped","FM0001","317280","Open","101364","  .00%",".00","4,851.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101364","G335","","01/06/14","CALL TO ROUTE","   588","    98","171011","4,851.00","    .00",".00","","","","NJ","PLC","PLC",
"182","FORMAN MILLS","1,080.00","","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317281","Open","101365","  .00%",".00","1,080.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101365","G335","","01/06/14","CALL TO ROUTE","   360","    40","171011","1,080.00","    .00",".00","","","","NJ","PLC","PLC",
"183","FORMAN MILLS","68.00","LINE 000CFO VOIDED.  (STYLE 2083419)","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317283","Open","101367","  .00%",".00","68.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101367","G335","","01/06/14","CALL TO ROUTE","    28","     5","171011","68.00","    .00",".00","","","Voided Line 000CFO Voided Line 000CFT Vo","NJ","PLC","PLC",
"184","FORMAN MILLS","544.50","","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317284","Open","101368","  .00%",".00","544.50","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101368","G335","","01/16/14","CALL TO ROUTE","   198","    17","171011","544.50","    .00",".00","","","","NJ","PLC","PLC",
"185","FORMAN MILLS","1,296.00","","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317285","Open","101369","  .00%",".00","1,296.00","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101369","G335","","01/06/14","CALL TO ROUTE","   468","    50","171011","1,296.00","    .00",".00","","","","NJ","PLC","PLC",
"186","FORMAN MILLS","3,094.50","","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317286","Open","101370","  .00%",".00","3,094.50","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101370","G335","","01/06/14","CALL TO ROUTE","   810","    93","171011","3,094.50","    .00",".00","","","","NJ","PLC","PLC",
"187","FORMAN MILLS","370.50","LINE 000CE2 VOIDED.  (STYLE 7385342","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317287","Open","101371","  .00%",".00","370.50","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101371","G335","","01/06/14","CALL TO ROUTE","   114","    19","171011","370.50","    .00",".00","","","Voided Line 000CE2 Voided Line 000CE1","NJ","PLC","PLC",
"188","FORMAN MILLS","4,660.50","","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317277","Open","101372","  .00%",".00","4,660.50","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101372","G335","","01/06/14","CALL TO ROUTE","  1518","   138","171011","4,660.50","    .00",".00","","","","NJ","PLC","PLC",
"189","FORMAN MILLS","64.25","LINE 000CPO VOIDED.  (STYLE 1382532 Adju","No collection Info","000131","01/06/2014","NET 30","752774","","Shipped","FM0001","317282","Open","101376","  .00%",".00","64.25","02/05/2014",".00","Invoice",".00","PB","25","1 to 30"," 30","","AF","12/13","","","","","","W","01/08/2014","","FM0001","","101376","G335","","01/06/14","CALL TO ROUTE","    25","     9","171011","64.25","    .00",".00","","","Voided Line 000CPO Voided Line 000CPN Vo","NJ","PLC","PLC",
"190","GARLANS FASHION APPA","197.62","","No collection Info","000090","11/01/2013","NET 30","108618","","Shipped","GA0001","11382","Open","100982","  .00%",".00","197.62","12/01/2013",".00","Invoice","-34.88","PB","91","91 to 120"," 30","","BB","10/13","","","","","","W","11/11/2013","","GA0001","","100982","G260","","10/30/13","UPS COLLECT","    24","     4","","197.62","    .00",".00","","","","CA","","",
"191","GARLANS FASHION APPA","91.80","","No collection Info","000090","11/01/2013","NET 30","108618","","Shipped","GA0001","11383","Open","100983","  .00%",".00","91.80","12/01/2013",".00","Invoice","-16.20","PB","91","91 to 120"," 30","","BB","10/13","","","","","","W","11/11/2013","","GA0001","","100983","G260","","11/01/13","UPS","    12","     2","","91.80","    .00",".00","","","","CA","","",
"192","GABRIEL BROTHERS","10,260.00","","No collection Info","000174","02/19/2014","NET 30","892979","","Shipped","GB0001","100-0038000008 MM","Open","101498","  .00%",".00","10,260.00","03/21/2014",".00","Invoice",".00","PB","","Current"," 30","","AF","01/14","","","","","","W","02/21/2014","","GB0001","","101498","G389","","02/19/14","CALL TO ROUTE","  2160","   180","179411","10,260.00","    .00",".00","","","","WV","","",
"193","GABRIEL BROTHERS","24,813.00","","No collection Info","000162","02/11/2014","NET 30","931385","","Shipped","GB0001","100-0038000007 MM","Open","101695","  .00%",".00","24,813.00","03/13/2014",".00","Invoice",".00","PB","","Current"," 30","","AF","01/14","","","","","","W","02/12/2014","","GB0001","","101695","G381","","02/11/14","CALL TO ROUTE","  5076","   456","180277","24,813.00","    .00",".00","","","","WV","","",
"194","GONZALEZ ASSOCIATES","360.00","Buyers Hold","In-Dispute","000107","11/12/2013","NET 60","549149 MT","","Shipped","GO0001","COS-3824","Open","101000","  .00%",".00","360.00","01/12/2014",".00","Invoice",".00","PB","49","31 to 60"," 60","","EE","10/13","","","","","","W","12/02/2013","","GO0001","","101000","G268","","11/12/13","CALL TO ROUTE","    36","     3","NONE","360.00","    .00",".00","","","","CA","","",
"195","GONZALEZ ASSOCIATES","1,060.00","","No collection Info","000107","11/12/2013","NET 60","549149 MT","","Shipped","GO0001","GUA-3822","Open","101001","  .00%",".00","1,060.00","01/12/2014",".00","Invoice",".00","PB","49","31 to 60"," 60","","EE","10/13","","","","","","W","12/02/2013","","GO0001","","101001","G268","","11/12/13","CALL TO ROUTE","   106","     7","NONE","1,060.00","    .00",".00","","","","CA","","",
"196","GONZALEZ ASSOCIATES","740.00","","No collection Info","000107","11/12/2013","NET 60","569755","","Shipped","GO0001","NIC-3823","Open","101002","  .00%",".00","740.00","01/12/2014",".00","Invoice",".00","PB","49","31 to 60"," 60","","EE","10/13","","","","","","W","12/02/2013","","GO0001","","101002","G268","","11/12/13","CALL TO ROUTE","    74","     6","NONE","740.00","    .00",".00","","","","CA","","",
"197","GONZALEZ ASSOCIATES","1,850.00","","No collection Info","000107","11/12/2013","NET 60","549149 MT","","Shipped","GO0001","SAL-3821","Open","101003","  .00%",".00","1,850.00","01/12/2014",".00","Invoice",".00","PB","49","31 to 60"," 60","","EE","10/13","","","","","","W","12/02/2013","","GO0001","","101003","G268","","11/12/13","CALL TO ROUTE","   185","    13","NONE","1,850.00","    .00",".00","","","","CA","","",
"198","GORDMANS","3,000.00","","No collection Info","000130","01/03/2014","NET 30","420964","","Shipped","GO0002","1076979","Open","101356","  .00%",".00","3,000.00","02/02/2014",".00","Invoice",".00","PB","28","1 to 30"," 30","","JB","12/13","","","","","","W","01/06/2014","","GO0002","","101356","G334","","01/03/14","CALL TO ROUTE","   600","    50","170728","3,000.00","    .00",".00","","","","NE","0050","",
"199","G. TOWN #21","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","784523","","Shipped","GT0001","16879","Open","101182","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","GT0001","","101182","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NY","","",
"200","H.E.B. GROC CO","16,665.00","LINE 000ETE VOIDED.  (STYLE 1005356HEB)","No collection Info","000154","02/04/2014","2% NET 10 EOM","423840","","Shipped","HB0001","48X294115","Open","101693"," 2.00%",".00","16,665.00","03/10/2014","333.30","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/05/2014","","HB4040","","101693","G363","","02/04/14","CALL TO ROUTE","  1512","   126","06578","6,117.00","    .00","10,548.00","000035","","Voided Line 000ETE Voided Line 000ETD Vo","TX","4040","4040",
"201","HUDSON OPERATING COR","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","784520","","Shipped","HC0001","16879","Open","101183","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","HC0001","","101183","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NJ","","",
"202","HOLLAND'S DEPARTMENT","810.00","","No collection Info","000178","02/21/2014","NET 30","908420","","Shipped","HD0001","01140","Open","101499","  .00%",".00","810.00","03/23/2014",".00","Invoice",".00","PB","","Current"," 30","","EE","01/14","","","","","","W","02/24/2014","","HD0001","","101499","G396","","02/21/14","UPS THIRD PARTY","   108","    18","","810.00","    .00",".00","","1Z4R845R0362892","","TX","","",
"203","HAWTHORNE KIDS LLC #","42.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","784526","","Shipped","HK0001","16879","Open","101184","  .00%",".00","42.00","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","HK0001","","101184","G303","","12/09/13","CALL TO ROUTE","    12","     1","MULTI","42.00","    .00",".00","","","","NJ","","",
"204","THE CATO CORPORATION","7,824.00","","No collection Info","000157","02/03/2014","NET 60","936431","","Shipped","IF0001","136215","Open","101694","  .00%",".00","7,824.00","04/04/2014",".00","Invoice",".00","PB","","Current"," 60","","AF","01/14","","","","","","W","02/06/2014","","IF0001","","101694","G368","","02/03/14","CALL TO ROUTE","  1872","   272","578190","7,824.00","    .00",".00","","","","NC","","",
"205","IMPORTADORA MADURO","1,493.64","","No collection Info","000158","02/01/2014","NET 30","692075","","Shipped","IM0001","68480","Open","101407","  .00%",".00","1,493.64","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101407","G371","","02/01/14","CALL TO ROUTE","   108","     9","","1,493.64","    .00",".00","","","","FL","","",
"206","IMPORTADORA MADURO","594.00","","No collection Info","000158","02/01/2014","NET 30","692078","","Shipped","IM0001","68481","Open","101408","  .00%",".00","594.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101408","G371","","02/01/14","CALL TO ROUTE","    36","     3","557811396786","594.00","    .00",".00","","","","FL","","",
"207","IMPORTADORA MADURO","1,098.00","","No collection Info","000158","02/01/2014","NET 30","692080","","Shipped","IM0001","68550","Open","101409","  .00%",".00","1,098.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101409","G371","","02/01/14","CALL TO ROUTE","    72","     6","557811396363","1,098.00","    .00",".00","","","","FL","","",
"208","IMPORTADORA MADURO","1,935.00","","No collection Info","000158","02/01/2014","NET 30","692082","","Shipped","IM0001","68551","Open","101410","  .00%",".00","1,935.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101410","G371","","02/01/14","CALL TO ROUTE","   252","    21","557811396477","1,935.00","    .00",".00","","","","FL","","",
"209","IMPORTADORA MADURO","2,162.16","","No collection Info","000158","02/01/2014","NET 30","692084","","Shipped","IM0001","68552","Open","101411","  .00%",".00","2,162.16","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101411","G371","","02/01/14","CALL TO ROUTE","   180","    15","557811396639","2,162.16","    .00",".00","","","","FL","","",
"210","IMPORTADORA MADURO","1,188.00","","No collection Info","000158","02/01/2014","NET 30","692087","","Shipped","IM0001","68553","Open","101412","  .00%",".00","1,188.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101412","G371","","02/01/14","CALL TO ROUTE","   144","    12","","1,188.00","    .00",".00","","","","FL","","",
"211","IMPORTADORA MADURO","1,647.00","","No collection Info","000158","02/01/2014","NET 30","692090","","Shipped","IM0001","68554","Open","101413","  .00%",".00","1,647.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/07/2014","","IM0001","","101413","G371","","02/01/14","CALL TO ROUTE","   108","     9","","1,647.00","    .00",".00","","","","FL","","",
"212","IMPORTADORA MADURO","3,942.00","","No collection Info","000181","02/26/2014","NET 30","692082","","Shipped","IM0001","68551","Open","101501","  .00%",".00","3,942.00","03/28/2014",".00","Invoice",".00","PB","","Current"," 30","","BB","01/14","","","","","","W","02/27/2014","","IM0001","","101501","G400","","02/26/14","CALL TO ROUTE","   540","    45","179413","3,942.00","    .00",".00","","","","FL","","",
"213","IMPORTADORA MADURO","2,349.00","","No collection Info","000183","01/28/2014","NET 30","692087","","Shipped","IM0001","68553","Open","101503","  .00%",".00","2,349.00","02/27/2014",".00","Invoice",".00","PB","3","1 to 30"," 30","","BB","01/14","","","","","","W","02/28/2014","","IM0001","","101503","G400","","02/26/14","CALL TO ROUTE","   324","    27","179414","2,349.00","    .00",".00","","","","FL","","",
"214","KID DYNOMITE","382.36","","No collection Info","000025","09/05/2013","NET 30","276389","","Shipped","KD0003","8213","Open","100173","  .00%","63.16","382.36","10/05/2013",".00","Invoice",".00","PB","148","121 to 150"," 30","","EE","08/13","","","","","","W","09/05/2013","","KD0003","","100173","G090513B","","09/05/13","","    48","     4","","382.36","  63.16",".00","","","","NY","","",
"215","KID DYNOMITE","745.55","","No collection Info","000031","09/11/2013","NET 30","276389","","Shipped","KD0003","8213","Open","100151","  .00%","90.35","745.55","10/11/2013",".00","Invoice",".00","PB","142","121 to 150"," 30","","EE","08/13","","","","","","W","09/11/2013","","KD0003","","100151","G-91113A","","09/11/13","","    60","     5","","745.55","  90.35",".00","","","","NY","","",
"216","KID DYNOMITE","702.53","","No collection Info","000081","10/04/2013","NET 30","276389","","Shipped","KD0003","8213","Open","100594","  .00%","64.13","702.53","11/03/2013",".00","Invoice",".00","PB","119","121 to 150"," 30","","EE","08/13","","","","","","W","11/04/2013","","KD0003","","100594","G203","","10/04/13","FEDEX GROUND","    48","     4","","702.53","  64.13",".00","","557841383904","","NY","","",
"217","KID DYNOMITE","314.90","","No collection Info","000110","11/07/2013","NET 30","276389","","Shipped","KD0003","8213","Open","100683","  .00%","29.30","314.90","12/07/2013",".00","Invoice",".00","PB","85","61 to 90"," 30","","EE","08/13","","","","","","W","12/03/2013","","KD0003","","100683","G258","","11/07/13","FEDEX GROUND","    24","     2","","314.90","  29.30",".00","","557841389821","","NY","","",
"218","OK KIDS","3,240.00","","No collection Info","000141","01/14/2014","NET 30","Line GB","","Shipped","KO0001","DIRECT 1219","Open","101488","  .00%",".00","3,240.00","02/13/2014",".00","Invoice",".00","PB","17","1 to 30"," 30","","EE","01/14","","","","","","W","01/28/2014","","KO0001","","101488","G354","","01/14/14","VESSEL","   720","    60","","3,240.00","    .00",".00","","","","CN","","",
"219","OK KIDS","5,562.00","","No collection Info","000141","01/15/2014","NET 30","Line GB","","Shipped","KO0001","DIRECT 1219","Open","101474","  .00%",".00","5,562.00","02/14/2014",".00","Invoice",".00","PB","16","1 to 30"," 30","","EE","01/14","","","","","","W","01/28/2014","","KO0001","","101474","G353","","01/15/14","","  1080","    90","","5,562.00","    .00",".00","","","","CN","","",
"220","OK KIDS","3,684.00","","No collection Info","000141","01/15/2014","NET 30","Line GB","","Shipped","KO0001","DIRECT 1219","Open","101475","  .00%",".00","3,684.00","02/14/2014",".00","Invoice",".00","PB","16","1 to 30"," 30","","EE","01/14","","","","","","W","01/28/2014","","KO0001","","101475","G352","","01/15/14","VESSEL","  1200","   100","","3,684.00","    .00",".00","","","","CN","","",
"221","KIDDIE OUTLET #10","84.00","","No collection Info","000117","12/09/2013","NET 10 EOM + 30","791501","","Shipped","KT0001","16879","Open","101185","  .00%",".00","84.00","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","KT0001","","101185","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","84.00","    .00",".00","","","","NJ","","",
