"Invoice No.","Invoice Date","Seq","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"100765","10/10/2013","49","Billed","RE0001","RED APPLE STORES INC","RE0001","RED APPLE STORES INC","Original Order","1245885-00B","09/11/2013","528","44","2851.20","10/15/2013","10/16/2013","CALL TO ROUTE","","","433423","000963","W","PB-BI-2PS","EE","RGG013","","","","",
"100834","10/14/2013","50","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Original Order","1242","10/10/2013","72","6","532.80","10/02/2013","11/04/2013","CALL TO ROUTE","","","OK MT","001001","W","PB-GI-2PS","JB","RGG017","","","","",
"101043","10/30/2013","51","Billed","WH0001","W&W WHOLESALE, INC.","WH0001","W&W WHOLESALE, INC.","Original Order","6369","10/14/2013","3696","308","29568.00","10/15/2013","10/30/2013","CALL TO ROUTE","","","593995","001017","W","PB-GT-3HJ","AF","RGG046","","","","",
"100935","10/18/2013","52","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024490","10/15/2013","276","25","1278.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001081","W","PB-BI-2PS","AF","RGG022","","","","",
"100937","10/18/2013","53","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024493","10/15/2013","69","6","316.50","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001084","W","PB-BT-000","AF","RGG022","","","","",
"100938","10/18/2013","54","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024494","10/16/2013","120","10","810.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001085","W","PB-GN-8PS","AF","RGG022","","","","",
"100936","10/18/2013","55","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024492","10/15/2013","48","4","240.00","10/26/2013","11/01/2013","VENDOR PORTAL","10/15/2013","","591202","001083","W","PB-B4-3SS","AF","RGG022","","","","",
"101044","10/30/2013","56","Billed","DC0001","DC DB","DC0001","DC DB","Original Order","1815","10/16/2013","258","43","1873.50","10/18/2013","10/25/2013","FEDEX","","","CC","001088","","PB-BN-000","EE","RGG047","","","","",
"100939","10/18/2013","57","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024495","10/16/2013","264","24","1125.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001089","W","PB-GI-000","AF","RGG022","","","","",
"100951","10/18/2013","58","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024496","10/16/2013","54","5","175.50","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001090","W","PB-GI-ROM","AF","RGG023","","","","",
"100942","10/18/2013","59","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024498","10/16/2013","294","33","1200.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001091","W","PB-GN-3BS","AF","RGG022","","","","",
"100943","10/18/2013","60","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025004","10/16/2013","132","11","429.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001092","W","PB-GN-ROM","AF","RGG022","","","","",
"100944","10/18/2013","61","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025005","10/16/2013","168","26","756.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001093","W","PB-G4-2LS","AF","RGG022","","","","",
"100945","10/18/2013","62","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025006","10/16/2013","144","12","684.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001094","W","PB-GT-2PS","AF","RGG022","","","","",
"100946","10/18/2013","63","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025007","10/16/2013","84","14","420.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001095","W","PB-GT-2LS","AF","RGG022","","","","",
