textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/24/2014,185871,101986,101013,,FAIRWAY FREIGHT,1/30/2014,3/15/2014, 00:00,2014/03/09 18:21 - orders still on hold ( credit hold )
Warehouse: Warehouse 6,JDE Associates,3/12/2014,189965,102300,11440,FedEx,TOMLINSONS,2/1/2014,3/25/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,3/7/2014,188691,102196,12214,FedEx,"LEASE AMERICA, LLC (KIDZ WORLD",2/4/2014,3/18/2014,3/12/2014 00:00,2014/03/09 19:01 - ready to ship
Warehouse: Warehouse 6,JDE Associates,2/14/2014,184089,101921,6NU2V6DI,,MY HABIT RECEIVING,2/10/2014,3/25/2014, 00:00,2014/03/09 18:30 - WILL ROUTE INSIDE SHIP WINDOW ; 2014/02/18 13:26 - ACTUAL SHIP DATE 3/25 WILL ROUTE THEN JDE NOTIFIED 
Warehouse: Warehouse 6,JDE Associates,3/6/2014,188612,102193,BULK 21414,UPS GROUND,PEANUT BUTTONS,2/14/2014,2/27/2014,3/13/2014 00:00,"2014/03/10 13:40 - READY TO SHIP, PROCESSED LABELS AND ORDERS THROUGH AMAZON SITE, TRACKING SENT, ; 2014/03/09 18:59 - working on routing and Special Project "
Warehouse: Warehouse 6,JDE Associates,3/3/2014,187821,102164,20027546,GREAT CENTRAL,SPECIALTY RETAILORS 108 - S.R.,2/15/2014,3/7/2014,3/14/2014 12:00:00 PM 12:00,"READY TO SHIP
2014/03/11 10:56 - routed online srr 120586; 2014/03/09 17:49 - po not valid per website. alicia and allen notified "
Warehouse: Warehouse 6,JDE Associates,2/28/2014,187523,102150,21714,UCL,THEUBERSHOP.COM,2/17/2014,3/5/2014,3/12/2014 2:00:00 PM 14:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,3/13/2014,190088,102303,955466770082,VENDOR PORTAL,LORD & TAYLOR,2/17/2014,3/3/2014, 00:00,
Warehouse: Warehouse 6,JDE Associates,2/18/2014,185238,101958,5FDAG22E,CENTRAL FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:25 - READY TO SHIP
SHIP ON 185238; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/18/2014,185239,101959,5WMO5LOP,CENTRAL FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:25 - READY TO SHIP
SHIP ON 185238; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/18/2014,185240,101960,5YDE63JV,UPS FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:21 - READY TO SHIP
SHIP ON 185240
; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/18/2014,185241,101961,X1892214,UPS FREIGHT,AMAZON.COM.KYDC LLC,2/25/2014,3/5/2014,3/14/2014 3:00:00 PM 15:00,"2014/03/13 15:21 - READY TO SHIP
SHIP ON 185240
; 2014/03/09 18:45 - waiting for SP to be completed, should be shipping around 3/12 - 3/13"
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186749,102004,12121,dm transport,KIDS FOR LESS STORE #60,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186750,102005,12122,dm transport,KIDS FOR LESS STORE #60,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186751,102006,12123,dm transport,KIDS FOR LESS STORE #60,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186752,102007,12121,dm transport,KIDS FOR LESS STORE #63,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
