"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"74","101952","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20028973","02/12/2014","864","72","2592.00","02/15/2014","02/21/2014","VENDOR PORTAL","002371","977956","","","W","","PB-GN-ROM","AF","RGG152","","","",
"75","102193","03/06/2014","Billed","PE0001","REVOLUTIONS BOUTIQUE","PE0001","PEANUT BUTTONS","Distro (from Bulk)","BULK 21414","02/14/2014","240","38","2167.20","02/14/2014","02/27/2014","CALL TO ROUTE","002389","","","","","","PB-GI-DRW","JS","RGG208","","","",
"76","101957","02/17/2014","Billed","SCH001","SCHWESER'S STORES IN","SCH001","SCHWESER'S STORES IN","Original Order","39180","02/17/2014","828","72","3636.00","03/04/2014","03/10/2014","UPS GRN FRT COL","002398","NONE","","","","","PB-GN-3BS","EE","RGG154","","","",
"77","102189","03/06/2014","Billed","NV0001","NEXCOM WEST COAST","NV0001","NEXCOM WEST COAST","Distro (from Bulk)","15210613","02/21/2014","204","17","1530.00","01/25/2014","03/14/2014","CALL TO ROUTE","002452","380116","","","W","","PB-G4-3SS","AF","RGG205","","","",
"78","102188","03/06/2014","Billed","NV0001","NEXCOM WEST COAST","NV0001","NEXCOM WEST COAST","Distro (from Bulk)","15210599","02/21/2014","984","164","7872.00","01/25/2014","03/14/2014","CALL TO ROUTE","002455","380112","","","W","","PB-G4-2LS","AF","RGG205","","","",
"79","102186","03/06/2014","Billed","NV0001","NEXCOM WEST COAST","NV0001","NEXCOM WEST COAST","Distro (from Bulk)","15210494","02/24/2014","360","60","2700.00","01/25/2014","03/14/2014","CALL TO ROUTE","002468","358381","","","W","","PB-GT-2LS","AF","RGG205","","","",
"80","102187","03/06/2014","Billed","NV0001","NEXCOM WEST COAST","NV0001","NEXCOM WEST COAST","Distro (from Bulk)","15210500","02/24/2014","336","28","2220.00","01/25/2014","03/14/2014","CALL TO ROUTE","002469","358375","","","W","","PB-GT-2PS","AF","RGG205","","","",
"81","102195","03/07/2014","Billed","KA0001","KID APPAREL INC.","KA0001","KID APPAREL INC.","Original Order","022514","02/25/2014","936","105","5772.00","02/25/2014","03/15/2014","CALL TO ROUTE","002476","NONE","","","","","PB-BN-5PC","EE","RGG209","","","",
"82","102181","03/05/2014","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 243015","02/26/2014","1440","120","7200.00","02/27/2014","03/07/2014","CALL TO ROUTE","002482","041265","","","W","","PB-BN-5PC","AF","RGG202","","","",
"83","102180","03/05/2014","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 243013","02/26/2014","1560","130","7800.00","02/27/2014","03/07/2014","VENDOR PORTAL","002483","041270","","","W","","PB-GN-5PC","AF","RGG202","","","",
"84","102182","03/05/2014","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 243014","02/26/2014","660","55","3300.00","02/27/2014","03/07/2014","VENDOR PORTAL","002484","041275","","","W","","PB-GN-5PC","AF","RGG202","","","",
"85","102183","03/05/2014","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 243016","02/26/2014","540","45","2700.00","02/27/2014","03/07/2014","VENDOR PORTAL","002485","041278","","","W","","PB-BN-5PC","AF","RGG202","","","",
"86","102040","02/26/2014","Billed","KM0001","KMART CORPORATION","KM0002","KMART","Distro (from Bulk)","BABYTOGS-08780713652","02/26/2014","4480","448","24192.00","03/03/2014","03/10/2014","CALL TO ROUTE","002486","","","","","","PB-GT-3SS","MY","RGG174","","","",
