"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"32","101088","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155959","11/05/2013","1728","166","5106.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001236","W","PB-BN-000","AF","RGG063","","","","",
"33","101089","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155966","11/05/2013","1410","157","2820.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001238","W","PB-BI-CRE","AF","RGG063","","","","",
"34","101090","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155968","11/05/2013","912","152","1824.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001241","W","PB-GI-TSL","AF","RGG063","","","","",
"35","101091","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 156593","11/06/2013","2916","243","15087.00","11/06/2013","11/15/2013","CALL TO ROUTE","","","654541","001243","W","PB-BN-3BS","AF","RGG063","","","","",
"36","101092","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155960","11/05/2013","384","32","1296.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001237","W","PB-BN-000","AF","RGG063","","","","",
"37","101093","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155967","11/05/2013","729","74","1458.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001240","W","PB-BI-TSL","AF","RGG063","","","","",
"38","101094","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155969","11/05/2013","510","85","1020.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001242","W","PB-GI-TSL","AF","RGG063","","","","",
"39","101095","11/14/2013","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 156594","11/06/2013","720","60","3720.00","11/06/2013","11/15/2013","CALL TO ROUTE","","","654541","001244","W","PB-BN-3BS","AF","RGG063","","","","",
"40","101096","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29018","11/04/2013","909","77","6135.75","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001218","W","PB-G7-DRD","AF","RSS009","","","","",
"41","101097","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29018-1","11/04/2013","2621","2621","17691.75","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001219","W","PB-G7-DRD","AF","RSS009","","","","",
"42","101098","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29020","11/04/2013","432","38","2916.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001220","W","PB-G7-DRD","AF","RSS009","","","","",
"43","101099","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29020-1","11/04/2013","1238","1238","8356.50","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001221","W","PB-G7-DRD","AF","RSS009","","","","",
"44","101100","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29022","11/04/2013","964","52","6507.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001222","W","PB-G7-DRD","AF","RSS009","","","","",
"45","101101","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29022-1","11/04/2013","6021","6021","40641.75","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001223","W","PB-G7-DRD","AF","RSS009","","","","",
"46","101102","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29024","11/04/2013","      976","      122","     6,588.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001224","W","PB-G7-DRD","AF","RSS009","","","","",
"47","101103","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29024-1","11/04/2013","1544","1544","10422.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001225","W","PB-G7-DRD","AF","RSS009","","","","",
"48","101104","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29026","11/04/2013","458","34","3091.50","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001226","W","PB-G7-DRD","AF","RSS009","","","","",
"49","101105","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29026-1","11/04/2013","134","134","904.50","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001227","W","PB-G7-DRD","AF","RSS009","","","","",
"50","101106","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29028","11/04/2013","316","22","2133.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001228","W","PB-G7-DRD","AF","RSS009","","","","",
"51","101107","11/15/2013","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29028-1","11/04/2013","5492","5492","37071.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663369","001229","W","PB-G7-DRD","AF","RSS009","","","","",
"52","101108","11/18/2013","Billed","KO0001","OK KIDS","KO0001","OK KIDS","Original Order","DIRECT082213","08/22/2013","1272","106","6157.20","08/22/2013","10/10/2013","DIRECT","","","","000462","","PB-BT-3PS","EE","RZZ011","","","","",
